kl_loss_gex,kl_loss_pex,recons_loss_gex,recons_loss_pex,cosine_loss_gex,cosine_loss_pex,adj_loss,spatial_loss,mutual_info_loss,oracle,oracle_self
3.3645713992669357e-10,2.0436406733548296e-10,0.0005823940737172961,2.8237433070898987e-05,0.0008427774882875383,0.0008427774882875383,5.202125976211391e-06,0.06707774102687836,2.203534313593991e-05,0.7041333576322819,0.7041333635989229
3.361901035336956e-10,2.0420830304512805e-10,0.0005771262221969664,2.7919804779230617e-05,0.0008412058232352138,0.0008412057650275528,5.080214123154292e-06,0.06808296591043472,1.577242619532626e-05,0.703574307253746,0.7035743109730522
3.358256728258624e-10,2.040693308780206e-10,0.0005797416670247912,2.82900728052482e-05,0.000838638748973608,0.000838638748973608,5.138102551427437e-06,0.0668819397687912,1.4607971934310626e-05,0.7031666163785945,0.703166595652546
3.353795574589924e-10,2.038933466508297e-10,0.0005771947326138616,2.7431184207671322e-05,0.0008373437449336052,0.0008373437449336052,5.171361863176571e-06,0.06675064563751221,1.6639329260215163e-05,0.7031686478778926,0.7031686457727945
3.3517866260268647e-10,2.0365735486915781e-10,0.0005792128504253924,2.7994507036055438e-05,0.0008412760798819363,0.0008412760798819363,5.143643193150638e-06,0.06727735698223114,1.5281137166311964e-05,0.7033522884829607,0.7033522966316897
3.3500319185364447e-10,2.0350435225857666e-10,0.0005767428083345294,2.816105006786529e-05,0.0008387574926018715,0.0008387574926018715,5.1022611842199694e-06,0.06617904454469681,1.771589813870378e-05,0.7038037974357877,0.7038037992640676
3.3478436689549085e-10,2.0334256500831316e-10,0.0005728898104280233,2.8059041142114438e-05,0.0008357361075468361,0.0008357361075468361,5.223368134466e-06,0.06684701889753342,3.159016341669485e-05,0.7039385979949877,0.7039385879730282
3.3447450364931797e-10,2.0312770909747258e-10,0.0005791413714177907,2.82449800579343e-05,0.0008379484061151743,0.0008379484061151743,5.107588549435604e-06,0.06906674802303314,3.078542067669332e-05,0.7037444180929603,0.7037444445912242
3.3429614632041194e-10,2.0296299363398163e-10,0.0005829471629112959,2.8363787350826897e-05,0.0008386641275137663,0.0008386641275137663,5.1028296184085775e-06,0.06704665720462799,2.032165320997592e-05,0.7032136506466894,0.7032136515084381
3.3417840716865044e-10,2.0284228463562926e-10,0.0005806571571156383,2.7829681130242534e-05,0.0008404203108511865,0.0008404203690588474,5.108223831484793e-06,0.0670434907078743,2.4233733711298555e-05,0.7026738987185328,0.7026738751671949
